epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04225,0.87284,8.40464,0.00386,0,0,0,0,0.48735,7.2034,0.00219,0.000175,0.000175,0.000175
2,13.2328,0.58937,6.94771,0.00261,0.00407,0.55556,0.05397,0.03767,0.52685,6.82663,0.00251,0.000358911,0.000358911,0.000358911
3,18.523,0.70072,5.95569,0.00324,0.00296,0.61111,0.27802,0.19877,0.54563,6.73259,0.00267,0.00053911,0.00053911,0.00053911
4,23.6444,0.69319,5.41685,0.00304,0.00346,0.77778,0.34219,0.26817,0.43657,6.59217,0.00217,0.000715596,0.000715596,0.000715596
5,28.7614,0.62438,5.21052,0.00288,0.00477,1,0.82824,0.69442,0.57171,6.19855,0.00254,0.00088837,0.00088837,0.00088837
6,33.9687,0.65398,4.48401,0.00295,0.00577,1,0.85828,0.75006,0.70698,5.40137,0.00359,0.00105743,0.00105743,0.00105743
7,39.1646,0.68208,4.41265,0.0031,0.64323,0.75301,0.83792,0.74211,0.599,4.94819,0.00293,0.00117575,0.00117575,0.00117575
8,44.3506,0.6668,4.02895,0.00311,0.6718,0.77199,0.882,0.80121,0.59502,3.76122,0.00264,0.00116337,0.00116337,0.00116337
9,49.4685,0.65768,4.01993,0.00291,0.71561,0.61111,0.89978,0.77332,0.55242,3.28102,0.00282,0.001151,0.001151,0.001151
10,54.5593,0.66991,3.40153,0.00313,0.71982,0.66667,0.95988,0.83855,0.5956,2.44742,0.00282,0.00113863,0.00113863,0.00113863
11,59.6903,0.61387,3.30729,0.0032,0.74529,0.88889,0.93214,0.78935,0.65914,1.58813,0.00354,0.00112625,0.00112625,0.00112625
12,64.9651,0.58023,3.08755,0.00314,0.8252,0.80484,0.93529,0.80066,0.58237,1.05669,0.00265,0.00111388,0.00111388,0.00111388
13,70.0457,0.6223,3.00699,0.00333,0.75687,0.84676,0.88762,0.80859,0.45175,0.94196,0.0022,0.0011015,0.0011015,0.0011015
14,75.1653,0.61591,2.73388,0.00293,0.74363,0.86459,0.88762,0.79628,0.4602,0.94478,0.002,0.00108913,0.00108913,0.00108913
15,80.3483,0.59291,2.44614,0.00277,0.75189,0.99633,0.95179,0.881,0.44658,0.64699,0.00261,0.00107675,0.00107675,0.00107675
16,85.4875,0.58588,2.39696,0.00288,0.89996,0.91648,0.97929,0.84892,0.60573,0.61224,0.00353,0.00106437,0.00106437,0.00106437
17,90.6229,0.61486,2.24909,0.00332,0.91425,0.95401,0.98738,0.85009,0.5852,0.54697,0.00306,0.001052,0.001052,0.001052
18,95.832,0.60005,2.08671,0.00303,0.82865,0.87522,0.95417,0.84222,0.59972,0.50425,0.00264,0.00103962,0.00103962,0.00103962
19,100.955,0.59822,2.03078,0.00336,0.92952,0.97995,0.995,0.90445,0.46178,0.4069,0.00239,0.00102725,0.00102725,0.00102725
20,106.206,0.54338,1.78593,0.00258,0.84812,0.92606,0.9675,0.88579,0.49699,0.45724,0.00298,0.00101488,0.00101488,0.00101488
21,111.47,0.55998,1.70383,0.00293,0.97597,0.83333,0.95833,0.83724,0.58452,0.6154,0.00323,0.0010025,0.0010025,0.0010025
22,116.773,0.51345,1.67036,0.00226,0.97773,0.91251,0.98167,0.81078,0.70648,0.53499,0.00325,0.000990125,0.000990125,0.000990125
23,121.963,0.53872,1.50979,0.00261,0.84809,0.784,0.89833,0.71902,0.70461,0.6179,0.00317,0.00097775,0.00097775,0.00097775
24,127.153,0.5578,1.43922,0.00255,0.76111,0.98684,0.89862,0.80269,0.53259,0.50547,0.00277,0.000965375,0.000965375,0.000965375
25,132.316,0.56066,1.33427,0.00272,0.704,0.90022,0.88319,0.79379,0.5327,0.57821,0.00304,0.000953,0.000953,0.000953
26,137.634,0.5211,1.33166,0.00251,0.87344,0.83333,0.95417,0.90481,0.36761,0.4751,0.00191,0.000940625,0.000940625,0.000940625
27,142.665,0.50979,1.22266,0.00226,0.81616,0.98174,0.9675,0.87786,0.49406,0.4335,0.00272,0.00092825,0.00092825,0.00092825
28,148.148,0.50916,1.15593,0.00236,0.65019,1,0.91722,0.8587,0.38842,0.48359,0.00172,0.000915875,0.000915875,0.000915875
29,153.456,0.48915,1.04527,0.00217,0.62136,0.96003,0.94,0.85617,0.51227,0.48281,0.00258,0.0009035,0.0009035,0.0009035
30,158.86,0.50611,1.01037,0.00222,0.8958,0.97242,0.995,0.93272,0.3891,0.30979,0.00208,0.000891125,0.000891125,0.000891125
31,164.425,0.40981,1.00975,0.00186,0.86949,0.93585,0.92667,0.87426,0.36183,0.38231,0.00173,0.00087875,0.00087875,0.00087875
32,169.755,0.51022,0.9556,0.00212,0.70134,1,0.92667,0.86744,0.47232,0.38392,0.00215,0.000866375,0.000866375,0.000866375
33,175.123,0.49847,0.91829,0.00234,0.8194,0.96597,0.97222,0.9136,0.38068,0.53806,0.00189,0.000854,0.000854,0.000854
34,180.58,0.46261,0.89301,0.00209,0.85026,0.99186,0.9675,0.89977,0.48827,0.3628,0.00216,0.000841625,0.000841625,0.000841625
35,185.986,0.52276,0.83669,0.00241,0.71383,0.99152,0.95179,0.82702,0.47715,0.59995,0.00223,0.00082925,0.00082925,0.00082925
36,191.759,0.4955,0.83616,0.00273,0.93004,0.83719,0.95988,0.84099,0.52115,0.48141,0.00255,0.000816875,0.000816875,0.000816875
37,197.336,0.53948,0.83698,0.00274,0.92251,0.83735,0.98738,0.87837,0.47857,0.44516,0.00221,0.0008045,0.0008045,0.0008045
38,203.142,0.531,0.81469,0.00238,0.86498,0.87652,0.94338,0.86865,0.46834,0.44398,0.00237,0.000792125,0.000792125,0.000792125
39,209.064,0.47297,0.83014,0.00233,0.88159,1,0.98738,0.89552,0.53196,0.36477,0.00281,0.00077975,0.00077975,0.00077975
40,214.72,0.49312,0.75261,0.00245,0.86357,0.86284,0.9675,0.92089,0.43393,0.38721,0.00228,0.000767375,0.000767375,0.000767375
41,220.396,0.4269,0.67107,0.00215,0.75339,0.97253,0.98738,0.92965,0.40193,0.43667,0.00214,0.000755,0.000755,0.000755
42,231.784,0.44593,0.68845,0.00219,0.87254,0.83006,0.92967,0.8487,0.48938,0.51975,0.00243,0.000742625,0.000742625,0.000742625
43,237.15,0.47039,0.68781,0.00229,0.97662,0.8833,0.951,0.88818,0.39068,0.3677,0.00183,0.00073025,0.00073025,0.00073025
